user_id,user_name,income,category,amount,date,month,day_of_week,description
1,Emily (College Student),2800,food,46.55,2023-01-25,1,2,Snacks and drinks
1,Emily (College Student),2800,food,48.64,2023-01-14,1,5,Organic market
1,Emily (College Student),2800,food,54.35,2023-01-31,1,1,Lunch at restaurant
1,Emily (College Student),2800,food,84.2,2023-01-03,1,1,Sushi takeout
1,Emily (College Student),2800,food,78.9,2023-01-28,1,5,Pizza delivery
1,Emily (College Student),2800,food,105.44,2023-01-28,1,5,Food truck lunch
1,Emily (College Student),2800,food,101.96,2023-01-21,1,5,Farmers market
1,Emily (College Student),2800,food,65.47,2023-01-03,1,1,Sushi takeout
1,Emily (College Student),2800,food,67.8,2023-01-21,1,5,Coffee shop
1,Emily (College Student),2800,food,56.61,2023-01-02,1,0,Dinner with friends
1,Emily (College Student),2800,food,176.89,2023-01-03,1,1,Lunch at restaurant
1,Emily (College Student),2800,transport,39.18,2023-01-22,1,6,Car insurance payment
1,Emily (College Student),2800,transport,42.6,2023-01-23,1,0,Highway toll
1,Emily (College Student),2800,transport,94.34,2023-01-22,1,6,Car wash
1,Emily (College Student),2800,transport,32.06,2023-01-03,1,1,Tire rotation
1,Emily (College Student),2800,transport,38.16,2023-01-21,1,5,Uber ride
1,Emily (College Student),2800,shopping,41.16,2023-01-30,1,0,Kitchen supplies
1,Emily (College Student),2800,shopping,29.83,2023-01-23,1,0,Bookstore
1,Emily (College Student),2800,shopping,37.41,2023-01-08,1,6,Kitchen supplies
1,Emily (College Student),2800,shopping,30.51,2023-01-11,1,2,Back-to-school supplies
1,Emily (College Student),2800,entertainment,79.0,2023-01-13,1,4,Spotify premium
1,Emily (College Student),2800,entertainment,30.97,2023-01-30,1,0,Online course
1,Emily (College Student),2800,entertainment,94.1,2023-01-28,1,5,Amusement park
1,Emily (College Student),2800,entertainment,88.63,2023-01-16,1,0,Online course
1,Emily (College Student),2800,utilities,170.12,2023-01-09,1,0,Cable TV
1,Emily (College Student),2800,utilities,138.7,2023-01-19,1,3,Home insurance
1,Emily (College Student),2800,utilities,136.45,2023-01-29,1,6,VPN subscription
1,Emily (College Student),2800,utilities,195.69,2023-01-13,1,4,Trash collection
1,Emily (College Student),2800,health,94.62,2023-01-16,1,0,Doctor visit copay
1,Emily (College Student),2800,health,2.01,2023-01-25,1,2,Gym membership
1,Emily (College Student),2800,travel,13.73,2023-01-06,1,4,Vacation rental
1,Emily (College Student),2800,travel,4.11,2023-01-14,1,5,Cruise deposit
1,Emily (College Student),2800,other,5.67,2023-01-17,1,1,Dry cleaning
1,Emily (College Student),2800,other,7.48,2023-01-18,1,2,ATM withdrawal
1,Emily (College Student),2800,other,219.89,2023-01-22,1,6,Miscellaneous
1,Emily (College Student),2800,food,289.74,2023-02-25,2,5,Grocery store
1,Emily (College Student),2800,food,69.74,2023-02-25,2,5,Grocery store
1,Emily (College Student),2800,food,42.96,2023-02-04,2,5,Dinner with friends
1,Emily (College Student),2800,food,28.87,2023-02-11,2,5,Coffee shop
1,Emily (College Student),2800,food,51.54,2023-02-03,2,4,Coffee shop
1,Emily (College Student),2800,food,91.53,2023-02-25,2,5,Fast food delivery
1,Emily (College Student),2800,food,42.96,2023-02-05,2,6,Brunch spot
1,Emily (College Student),2800,food,31.06,2023-02-11,2,5,Snacks and drinks
1,Emily (College Student),2800,food,36.6,2023-02-07,2,1,Organic market
1,Emily (College Student),2800,food,30.13,2023-02-25,2,5,Sushi takeout
1,Emily (College Student),2800,transport,87.65,2023-02-11,2,5,Gas station fill-up
1,Emily (College Student),2800,transport,97.03,2023-02-19,2,6,Lyft to airport
1,Emily (College Student),2800,transport,65.04,2023-02-08,2,2,Tire rotation
1,Emily (College Student),2800,transport,70.72,2023-02-08,2,2,Gas station fill-up
1,Emily (College Student),2800,shopping,43.08,2023-02-02,2,3,Back-to-school supplies
1,Emily (College Student),2800,shopping,79.75,2023-02-11,2,5,Clothing store
1,Emily (College Student),2800,shopping,48.78,2023-02-17,2,4,Home goods
1,Emily (College Student),2800,entertainment,101.76,2023-02-24,2,4,Board game night supplies
1,Emily (College Student),2800,entertainment,127.49,2023-02-19,2,6,Comedy club
1,Emily (College Student),2800,entertainment,137.23,2023-02-16,2,3,Spotify premium
1,Emily (College Student),2800,utilities,231.71,2023-02-14,2,1,Home insurance
1,Emily (College Student),2800,utilities,315.3,2023-02-15,2,2,Cable TV
1,Emily (College Student),2800,health,74.86,2023-02-22,2,2,Lab work
1,Emily (College Student),2800,travel,14.32,2023-02-21,2,1,Hotel booking
1,Emily (College Student),2800,other,35.27,2023-02-04,2,5,Pet supplies
1,Emily (College Student),2800,other,80.64,2023-02-07,2,1,Pet supplies
1,Emily (College Student),2800,other,99.13,2023-02-18,2,5,Professional dues
1,Emily (College Student),2800,food,290.89,2023-03-18,3,5,Farmers market
1,Emily (College Student),2800,food,163.42,2023-03-09,3,3,Food truck lunch
1,Emily (College Student),2800,food,101.11,2023-03-10,3,4,Brunch spot
1,Emily (College Student),2800,food,32.41,2023-03-22,3,2,Fast food delivery
1,Emily (College Student),2800,food,44.72,2023-03-11,3,5,Supermarket weekly shop
